Category,Block Name,block_name,Description,Parameters,classification,xml_fields,simulator_status
Drivetrain,drive,pg_drivetrain_drive,Moves the drivetrain forward or in reverse using the current drive velocity. This block runs continuously until another Drivetrain block interrupts it or the project stops.,"direction: The direction the robot drives (forward, reverse)",movement,DIRECTION,handled
Drivetrain,drive for,pg_drivetrain_drive_for,Moves the drivetrain forward or in reverse for a specified distance using the current drive velocity.,"direction: The direction the robot drives (forward, reverse); distance: The distance the robot drives as an integer or decimal; unit: The unit of measurement (mm, inches); expanding arrow: Toggle waiting/non-waiting behavior (and don't wait)",movement,DIRECTION;AMOUNT;UNITS,handled
Drivetrain,turn,pg_drivetrain_turn,Turns the drivetrain continuously left or right using the current turn velocity. The drivetrain will keep turning until another drivetrain block runs or the project stops.,"direction: The direction the robot turns (left, right)",movement,TURNDIRECTION,handled
Drivetrain,turn for,pg_drivetrain_turn_for,Turns the drivetrain left or right for a specific number of degrees using the current turn velocity.,"direction: The direction the robot turns (left, right); angle: The number of degrees the robot turns as an integer or decimal; expanding arrow: Toggle waiting/non-waiting behavior (and don't wait)",movement,TURNDIRECTION;AMOUNT,handled
Drivetrain,turn to heading,pg_drivetrain_turn_to_heading,Turns the drivetrain to face a specific heading using the current turn velocity.,heading: The absolute heading the drivetrain will turn to from -360 to 360 degrees; expanding arrow: Toggle waiting/non-waiting behavior (and don't wait),movement,HEADING,handled
Drivetrain,turn to rotation,pg_drivetrain_turn_to_rotation,Turns the drivetrain to face a specific rotational value using the current turn velocity.,rotation: The cumulative rotation value the robot will turn to as an integer or decimal; expanding arrow: Toggle waiting/non-waiting behavior (and don't wait),movement,ROTATION,handled
Drivetrain,stop driving,pg_drivetrain_stop_driving,Immediately stops all movement of the drivetrain.,,movement,,handled
Drivetrain,set drive velocity,pg_drivetrain_set_drive_velocity,Sets the default movement speed as a percentage for all subsequent movement blocks. Default is 50%.,velocity: Sets the default movement velocity from 0% to 100%,movement,VELOCITY,handled
Drivetrain,set turn velocity,pg_drivetrain_set_turn_velocity,Sets the default velocity as a percentage for all subsequent turn blocks. Default is 50%.,velocity: Sets the default turn velocity from 0% to 100%,movement,VELOCITY,handled
Drivetrain,set drive heading,pg_drivetrain_set_drive_heading,Sets the gyro's current heading to a specified value.,heading: The heading value to assign in degrees,movement,ANGLE,handled
Drivetrain,set drive rotation,pg_drivetrain_set_drive_rotation,Sets the gyro's current cumulative rotation value.,rotation: The cumulative rotation value to assign in degrees,movement,AMOUNT,handled
Drivetrain,set drive timeout,pg_drivetrain_set_drive_timeout,Sets a time limit for how long a Drivetrain block will wait to reach its target. If the robot cannot complete the movement within the set time it will stop automatically.,time: The maximum number of seconds a Drivetrain block will run before stopping,movement,TIME,ignored
Drivetrain,drive is done?,pg_sensing_drive_is_done,Returns a Boolean indicating whether the drivetrain is not moving. True if not moving; False if moving.,,sensor,,handled
Drivetrain,drive is moving?,pg_sensing_drive_is_moving,Returns a Boolean indicating whether the drivetrain is moving. True if moving; False if not moving.,,sensor,,handled
Drivetrain,drive heading,pg_sensing_drive_heading,Returns the drivetrain's heading angle as a decimal number in the range 0 to 359.99 degrees.,,sensor,,handled
Drivetrain,drive rotation,pg_sensing_drive_rotation,Returns how much the drivetrain has turned since the project started in degrees: positive for clockwise negative for counterclockwise.,,sensor,,handled
Magnet,energize magnet,pg_magnet_set_magnet_state,Sets the state of the electromagnet to pick up or drop objects.,"state: State to charge the magnet to (boost - pick up objects, drop - stop picking up/drop)",magnet,STATE,handled
Sensing > Bumper,bumper pressed?,pg_sensing_bumper,Returns a Boolean based on the Bumper Sensor state. True if pressed; False if not pressed.,bumper sensor: Bumper Sensor to check,sensor,,ignored
Sensing > Bumper,when Bumper,pg_events_when_bumper,Executes the attached stack of blocks when the Bumper Sensor is pressed or released.,bumper sensor: Bumper Sensor to monitor; actions: Trigger on pressed or released,event,,handled
Sensing > Distance,Distance found object?,pg_sensing_distance_found,Returns a Boolean indicating whether the Distance Sensor has detected an object within 2000 mm. True if detected; False if not detected.,,sensor,,ignored
Sensing > Distance,object distance,pg_sensing_distance_distance,Returns the distance of the nearest object from the Distance Sensor.,"unit: The unit of measurement (mm, inches)",sensor,UNIT,ignored
Sensing > Eye,eye near object?,pg_sensing_optical_near_object,Returns a Boolean indicating whether the Eye Sensor detects an object.,eye: The Eye Sensor to use,sensor,,handled
Sensing > Eye,eye detects color?,pg_sensing_optical_color,Returns a Boolean indicating whether the Eye Sensor detects a specified color.,"eye: The Eye Sensor to use; color: Color to detect (red, green, blue)",sensor,,handled
Sensing > Eye,eye brightness,pg_sensing_optical_brightness,Returns the brightness detected by the Eye Sensor (0%-100%).,eye: The Eye Sensor to use,sensor,,ignored
Sensing > Eye,when eye,pg_events_optical_detect_object,Triggers actions when the Eye Sensor detects or loses an object.,eye: The Eye Sensor to use; state: Action to trigger (detects or loses an object),event,,handled
Sensing > Location,position,pg_sensing_position,Returns the X or Y coordinate position of the VR Robot.,"axis: The axis to return the position of (X, Y); units: The unit to represent the position (mm, inches)",sensor,AXIS;UNITS,handled
Sensing > Location,position angle,pg_sensing_position_angle,Returns the angle of the robot in degrees.,,sensor,,handled
Drawing,move pen,pg_looks_move_pen,Controls pen position to enable/disable drawing.,"position: Pen position (down, up)",drawing,POSITION,handled
Drawing,set pen to width,pg_looks_set_pen_width,Controls line thickness with 5 presets available.,"width: Line width preset (extra thin, thin, medium, wide, extra wide)",drawing,WIDTH,handled
Drawing,set pen to color,pg_looks_set_pen_color,Selects from 4 preset colors for the pen.,"color: Preset color (black, red, green, blue)",drawing,COLOR,handled
Drawing,set pen color,pg_looks_set_pen_color_plus,Sets a custom RGB color with opacity control for the pen.,red: 0-255; green: 0-255; blue: 0-255; opacity: 0-100%,drawing,,handled
Drawing,fill area,pg_looks_fill_color_plus,Fills enclosed spaces with custom RGB color.,red: 0-255; green: 0-255; blue: 0-255; opacity: 0-100%,drawing,,handled
Console,print,pg_looks_print,Outputs values/variables to the console. Expanded version moves cursor to next line after printing.,value: Text number or variable to display,console,VALUE,ignored
Console,set cursor to next row,pg_looks_next_row,Moves cursor position to column 1 of next line.,,console,,ignored
Console,clear all rows,pg_looks_clear_all_rows,Resets console by removing all printed content.,,console,,ignored
Console,set print precision,pg_looks_set_print_precision,Sets decimal precision for numbers displayed in the console.,"value: Precision level (1, 0.1, 0.01, 0.001, All Digits)",console,VALUE,ignored
Console,set print color,pg_looks_set_print_color,Changes text color in the console.,"color: Available colors (black, red, green, blue)",console,COLOR,ignored
Logic > Control,wait,pg_control_wait,Pauses execution for a specific amount of time before moving to the next block.,time: The amount of time to wait as a positive integer or decimal in seconds,other,TIME,handled
Logic > Control,wait until,pg_control_wait_until,Pauses execution until a specified condition is met before proceeding to the next block.,condition: The condition that must be met before moving on to the next block,other,,handled
Logic > Control,repeat,pg_control_repeat,Runs the blocks inside it a set number of times.,times: A whole number that sets how many times the repeat block runs,loop,TIMES,handled
Logic > Control,forever,pg_control_forever,Keeps running the blocks inside it again and again without stopping.,,loop,,handled
Logic > Control,repeat until,pg_control_repeat_until,Executes the enclosed blocks repeatedly while the condition evaluates as False. Stops when condition is True.,condition: An expression or variable evaluated before each iteration (False continues; True stops),loop,,handled
Logic > Control,while,pg_control_while,Executes the enclosed blocks repeatedly while the condition evaluates as True. Stops when condition is False.,condition: An expression or variable evaluated before each iteration (True continues; False stops),loop,,handled
Logic > Control,if,pg_control_if_then,Executes the enclosed block of code if the condition evaluates as True.,condition: An expression or variable evaluated when the statement runs (True executes; False skips),conditional,,handled
Logic > Control,if / else,pg_control_if_then_else,Determines which enclosed block of code runs based on whether the condition evaluates as True or False.,condition: An expression or variable evaluated when the statement runs (True runs if block; False runs else block),conditional,,handled
Logic > Control,if / else if / else,pg_control_if_elseif_else,Selects which enclosed block of code runs based on multiple conditions. First true condition determines which block executes; else runs if none are true.,condition: An expression or variable evaluated when the statement runs,conditional,,handled
Logic > Control,break,pg_control_break,Exits a repeat forever repeat until or while loop immediately.,,other,,handled
Logic > Control,stop project,pg_control_stop_project,Ends the execution of the project.,,other,,handled
Logic > Timer,reset timer,pg_sensing_reset_timer,Resets the timer to zero.,,timer,,handled
Logic > Timer,timer in seconds,pg_sensing_timer_value,Returns the elapsed time since the timer was last reset as a decimal in seconds.,,timer,,handled
Logic > Timer,when timer,pg_events_when_timer,Activates the attached stack of blocks after a specified amount of time.,time: Specifies the number of seconds before the attached stack of blocks starts (whole or decimal numbers),event,TIME,handled
Logic > Events,when started,pg_events_when_started,Runs its stack when the project begins. Multiple when started blocks can run multiple stacks at once.,,event,,handled
Logic > Events,when I receive event,pg_events_when_broadcasted,Starts a stack when a matching event is broadcast. Multiple blocks can run multiple stacks at once.,event: The event to be triggered (select existing create new rename or delete),event,,handled
Logic > Events,broadcast event,pg_events_broadcast,Triggers any matching when I receive event hat block. Does not pause execution and continues running the next block immediately.,event: The event to trigger (select existing create new rename or delete),event,,handled
Logic > Events,broadcast event and wait,pg_events_broadcast_and_wait,Triggers an event then pauses execution of the current stack until all triggered when I receive event block stacks have completed.,event: The event to trigger (select existing create new rename or delete),event,,handled
Logic > Operators,math operator,pg_operator_math,Performs basic arithmetic on the values placed on either side. Returns a result based on the project's print precision.,"value 1: The first number; operator: Mathematical operator (+, -, *, /); value 2: The second number",operator,,handled
Logic > Operators,comparison operator,pg_operator_comparison,Returns a Boolean indicating whether the comparison between two values is true or false.,"value 1: The first value to compare; operator: Comparison operator (=, <, ≤, >, ≥); value 2: The second value to compare",operator,,handled
Logic > Operators,logical operator,pg_operator_and_or,Returns a Boolean indicating whether the logical condition between multiple values is true or false.,"condition 1: The first Boolean condition; operator: Logical operator (and, or); condition 2: The second Boolean condition",operator,,handled
Logic > Operators,not operator,pg_operator_not,Inverts the result of a Boolean block. True becomes False and False becomes True.,condition: The Boolean condition to be inverted,operator,,handled
Logic > Operators,range operator,pg_operator_range,Returns a Boolean indicating whether a value falls within a specified range.,"first operator: Comparison operator (<, ≤, >, ≥); value: The value to check; second operator: Comparison operator (<, ≤, >, ≥)",operator,,handled
Logic > Operators,pick random,pg_operator_random,Returns a random integer within the specified range.,min: The lowest possible number; max: The highest possible number,operator,,handled
Logic > Operators,round number,pg_operator_round,Returns the given number rounded to the nearest whole number following standard rounding rules.,number: The number to round; decimal places: The amount of decimal places to round to,operator,,handled
Logic > Operators,math functions,pg_operator_function,Applies a selected mathematical function to a given number and returns the result.,"function: Mathematical operation (abs, floor, ceiling, sqrt, sin, cos, tan, asin, acos, atan, ln, log, e^, 10^, negative); number: The number to apply the function to",operator,,handled
Logic > Operators,atan2,pg_operator_function_atan2,Returns the inverse tangent of Y/X as an angle in degrees representing the angle between the positive X-axis and the point (X Y).,x: The horizontal position of the point; y: The vertical position of the point,operator,,handled
Logic > Operators,remainder,pg_operator_remainder,Returns the remainder of the division operation between two values.,dividend: The number to be divided; divisor: The number to divide by,operator,,handled
Logic > Operators,join,pg_operator_join,Returns a single string that combines two or more input strings.,string 1: The first string to combine; string 2: The second string to combine,operator,,handled
Logic > Operators,letter,pg_operator_find,Returns a single-character string from the specified position in the given string.,position: The position of the character in the string (starting at 1); string: The string to extract a letter from,operator,,handled
Logic > Operators,length,pg_operator_length,Returns the number of characters in the specified string including spaces.,string: The string to measure the length of,operator,,handled
Logic > Operators,contains,pg_operator_contains,Returns a Boolean indicating whether the specified string includes the given word or character.,string: The main string to search within; search term: The word or character to check for,operator,,handled
Logic > Operators,convert,pg_operator_convert,Returns the value of a number converted to the specified type either as text or a number.,"value: The number to convert; type: The type to convert into (text, number)",operator,,handled
Logic > Variables,numeric variable,pg_variables_variable,Returns the value of a numeric variable.,,other,,handled
Logic > Variables,set numeric variable,pg_variables_set_variable,Assigns a value to a numeric variable.,variable: The numeric variable to assign a value to; value: The number assigned to the variable,variable,VARIABLE;VALUE,handled
Logic > Variables,change numeric variable,pg_variables_change_variable,Increases or decreases a variable's value by a given amount.,variable: The numeric variable to modify; value: The amount to increase or decrease by,variable,VARIABLE;VALUE,handled
Logic > Variables,Boolean variable,pg_variables_boolean_variable,Returns the value of a Boolean variable (True or False).,,other,,handled
Logic > Variables,set Boolean variable,pg_variables_set_boolean_variable,Assigns a True or False value to a Boolean variable.,variable: The Boolean variable to assign a value to; value: A Boolean value (True or False),variable,,handled
Logic > Variables,list item,pg_variables_item_of_array,Returns the value of an item in a list.,index: The position of the item in the list (starting at 1); variable: The list variable to return an item from,other,,ignored
Logic > Variables,replace list item,pg_variables_set_item_of_array,Updates a specific item in a list.,variable: The list variable containing the item to modify; index: The position of the item (starting at 1); value: The new value assigned,variable,,ignored
Logic > Variables,set list items,pg_variables_set_array_to,Sets every item in the list to the entered values.,variable: The list variable being assigned values; values: The values to store in the list,variable,,ignored
Logic > Variables,length of list,pg_variables_size_of_array,Returns the number of items in a list.,variable: The list variable to return the length of,other,,ignored
Logic > Variables,2D list item,pg_variables_item_of_2d_array,Returns the value of an item from a specific row and column in a 2D list.,row: The row of the item (starting at 1); column: The column of the item (starting at 1); variable: The 2D list variable,other,,ignored
